Label,Fridge,Freezer,Pantry
"APPLES - FRESH, RAW, WHOLE",30.0,330.0,6.0
"APRICOTS - FRESH, RAW, WHOLE",4.0,330.0,2.0
"AVOCADOS - FRESH, RAW, WHOLE",4.0,120.0,5.0
"BANANAS - FRESH, RAW, WHOLE",6.0,60.0,3.0
"CANTALOUPE - FRESH, RAW, WHOLE",4.0,330.0,1.0
"CASABA MELONS - FRESH, RAW, WHOLE",8.0,330.0,3.0
"CRENSHAW MELONS - FRESH, RAW, WHOLE",8.0,330.0,3.0
"GRAPEFRUIT - FRESH, RAW, WHOLE",21.0,330.0,7.0
"GUAVA - FRESH, RAW, WHOLE",3.0,330.0,3.0
"HONEYDEW MELONS - FRESH, RAW, WHOLE",6.0,330.0,3.0
"KIWI FRUIT - FRESH, RAW, WHOLE",14.0,330.0,3.0
"LEMONS - FRESH, RAW, WHOLE",21.0,90.0,7.0
"LIMES - FRESH, RAW, WHOLE",21.0,90.0,7.0
"APPLES - FRESH, RAW, WHOLE",30.0,330.0,6.0
"APRICOTS - FRESH, RAW, WHOLE",4.0,330.0,2.0
"AVOCADOS - FRESH, RAW, WHOLE",4.0,120.0,5.0
"BANANAS - FRESH, RAW, WHOLE",6.0,60.0,3.0
"ORANGES - FRESH, RAW, WHOLE",21.0,330.0,6.0
"PAPAYAS - FRESH, RAW, WHOLE",6.0,330.0,3.0
"PEACHES - FRESH, RAW, WHOLE",4.0,330.0,2.0
"PEARS - FRESH, RAW, WHOLE",6.0,330.0,2.0
"PINEAPPLES - FRESH, RAW, WHOLE",4.0,330.0,1.0
"PLANTAINS - FRESH, RAW, WHOLE",6.0,330.0,4.0
"PLUMS - FRESH, RAW, WHOLE",4.0,330.0,2.0
"PRICKLY PEARS - FRESH, RAW, WHOLE",2.0,330.0,3.0
"WATERMELON - FRESH, RAW, WHOLE",14.0,330.0,8.0
"ALFALFA SPROUTS - FRESH, RAW",2.0,,
"ARTICHOKES - FRESH, RAW ",6.0,330.0,
"ARUGULA (ROCKET) — FRESH, RAW",2.0,,
"ASPARAGUS - FRESH, RAW",3.0,450.0,
"BABY CARROTS - FRESH, RAW",14.0,450.0,
"BAMBOO SHOOTS - FRESH, RAW",6.0,,
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"BANANA PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"BEET GREENS - FRESH, RAW",4.0,330.0,
"BEETS - FRESH, RAW",14.0,450.0,
"BELL PEPPERS / SWEET PEPPERS  (INCLUDING GREEN, RED, YELLOW, ORANGE ) - FRESH, RAW, WHOLE",7.0,330.0,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"BITTER MELON — FRESH, RAW",4.0,,
"BOK CHOY — FRESH, RAW",3.0,330.0,
"BROAD BEANS  — FRESH, RAW",2.0,330.0,
"BROCCOLI - FRESH, RAW",4.0,450.0,
"BROCCOLI RABE / RAPINI - FRESH, RAW",4.0,330.0,
"BRUSSELS SPROUTS -  FRESH, RAW",4.0,450.0,
"CABBAGE - FRESH, RAW",30.0,450.0,
"CARROTS - FRESH, RAW, CHOPPED, CARROT STICKS",14.0,450.0,
"CARROTS - FRESH, RAW, UNPEELED",21.0,330.0,
"CASSAVA / YUCCA/ MANIOC — FRESH, RAW",2.0,,
"CAULIFLOWER - FRESH, RAW",7.0,450.0,
"CELERIAC / CELERY ROOT - FRESH, RAW",12.0,,
"CELERY - FRESH, RAW",7.0,450.0,
"CELERY - FRESH, RAW, CHOPPED, CUT-UP OR CELERY STICKS",7.0,450.0,
"CHAYOTE — FRESH, RAW",21.0,330.0,
"CHICORY GREENS - FRESH, RAW",4.0,,
"CHILI PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"CHILI PEPPERS - FRESH, RAW, WHOLE",7.0,330.0,
"CHINESE CABBAGE — FRESH, RAW",4.0,450.0,
"CHINESE LONG BEANS - FRESH, RAW",4.0,330.0,
"CHOPPED ONIONS / SLICED ONIONS (INCLUDING YELLOW, WHITE, RED, SPANISH, PEARL, VIDALIA VARIETIES) - FRESH, RAW",8.0,210.0,
"COLLARD GREENS (COLLARDS) - FRESH, RAW",4.0,330.0,
"CORN ON THE COB - FRESH, RAW",2.0,240.0,
"CUCUMBER - FRESH, RAW, SLICED OR CHOPPED",1.0,,
"CUCUMBER - FRESH, RAW, WHOLE",7.0,,
"DANDELION GREENS - FRESH, RAW",2.0,330.0,
"EGGPLANT - FRESH, RAW ",6.0,210.0,
"ENDIVE - FRESH, RAW",4.0,,
"ESCAROLE — FRESH, RAW",4.0,,
"FENNEL, BULB — FRESH, RAW",8.0,330.0,
"FIDDLEHEAD FERNS — FRESH, RAW",2.0,,
"FRISEE LETTUCE — FRESH, RAW",4.0,,
"GARLIC - FRESH, RAW, CHOPPED",6.0,330.0,
"GARLIC - FRESH, RAW, WHOLE BULB / HEAD",,330.0,120.0
"GINGER ROOT - FRESH, RAW",35.0,60.0,
"GREEN BEANS  / STRING BEANS / WAX BEANS - FRESH, RAW",6.0,450.0,
"GREEN ONIONS (SCALLIONS) - FRESH, RAW",8.0,330.0,
"GUERO PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"GUERO PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"HABANERO PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"HABANERO PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"HORSERADISH ROOT — FRESH, RAW",30.0,,
"JALAPENO PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"JALAPENO PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"JERUSALEM ARTICHOKES (SUNCHOKES) — FRESH, RAW",10.0,,
"JICAMA — FRESH, RAW",10.0,,
"KALE - FRESH, RAW, LOOSE",6.0,330.0,
"KOHLRABI — FRESH, RAW",4.0,330.0,
"LEEKS - FRESH, RAW",10.0,330.0,
"LETTUCE, BIBB - FRESH, RAW",3.0,,
"LETTUCE, BOSTON - FRESH, RAW",3.0,,
"LETTUCE, BUTTER - FRESH, RAW",3.0,,
"LETTUCE, ICEBERG - FRESH, RAW",8.0,,
"LETTUCE, LEAF (RED OR GREEN) - FRESH, RAW",7.0,,
"LETTUCE, MACHE - FRESH, RAW",1.0,,
"LETTUCE, ROMAINE OR COS - FRESH, RAW",8.0,,
"MESCLUN GREENS , MESCLUN MIX - FRESH, RAW",2.0,,
"MIXED VEGETABLES, SOLD PRE-SLICED IN GROCERY PRODUCE DEPARTMENT- FRESH, RAW ",4.0,,
"MUSHROOMS (INCLUDING WHITE, BUTTON, PORTABELLA, SHIITAKE, OYSTER, ENOKI VARIETIES) - FRESH, RAW, WHOLE",5.0,330.0,
"MUSTARD GREENS - FRESH, RAW",2.0,330.0,
"NOPALES (NOPALITOS, PRICKLY PEAR) — FRESH, RAW",10.0,,
"OKRA — FRESH, RAW",2.0,330.0,
"ONIONS, ALL VARIETIES EXCEPT SWEET (INCLUDING YELLOW, WHITE, PEARL) - FRESH, RAW, WHOLE",60.0,210.0,60.0
"PARSNIPS - FRESH, RAW",21.0,330.0,
"PEAS, GREEN — FRESH, RAW",4.0,450.0,
"PIMIENTOS (PIMENTOS) — FRESH, RAW",7.0,330.0,
"POBLANO PEPPERS — FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"POBLANO PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) - FRESH, RAW",21.0,330.0,7.0
"PUMPKIN — FRESH, RAW, CUT UP",3.0,330.0,
"PUMPKIN - FRESH, RAW, WHOLE",,330.0,30.0
"RADICCHIO — FRESH, RAW",4.0,,
"RADISHES — FRESH, RAW",12.0,,
"RHUBARB - FRESH, RAW ",6.0,330.0,
"RUTABAGAS - FRESH, RAW",14.0,270.0,
"SALSIFY (VEGETABLE OYSTER) — FRESH, RAW",10.0,,
"SERRANO PEPPERS — FRESH, RAW, SLICED OR CHOPPED",1.0,330.0,
"SERRANO PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"SHALLOTS - FRESH, RAW, SLICED OR CHOPPED",8.0,330.0,
"SHALLOTS - FRESH, RAW, WHOLE",30.0,330.0,30.0
"SLICED MUSHROOMS  / CHOPPED MUSHROOMS (INCLUDING WHITE, BUTTON, PORTABELLA, SHIITAKE, OYSTER, ENOKI VARIETIES) - FRESH, RAW",5.0,330.0,
"SNOW PEAS - FRESH, RAW",3.0,330.0,
"SORREL — FRESH, RAW",1.0,330.0,
"SPINACH - FRESH, RAW, LOOSE ",6.0,330.0,
"SQUASH, SUMMER (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) — FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) — FRESH, RAW, SLICED OR CHOPPED",3.0,330.0,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) - FRESH, RAW, WHOLE",,330.0,30.0
"ALFALFA SPROUTS - FRESH, RAW",2.0,,
"ARTICHOKES - FRESH, RAW ",6.0,330.0,
"ARUGULA (ROCKET) — FRESH, RAW",2.0,,
"ASPARAGUS - FRESH, RAW",3.0,450.0,
"BABY CARROTS - FRESH, RAW",14.0,450.0,
"BAMBOO SHOOTS - FRESH, RAW",6.0,,
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"BANANA PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"BEET GREENS - FRESH, RAW",4.0,330.0,
"BEETS - FRESH, RAW",14.0,450.0,
"ALFALFA SPROUTS - FRESH, RAW",2.0,,
"ARTICHOKES - FRESH, RAW ",6.0,330.0,
"ARUGULA (ROCKET) — FRESH, RAW",2.0,,
"ASPARAGUS - FRESH, RAW",3.0,450.0,
"BABY CARROTS - FRESH, RAW",14.0,450.0,
"BAMBOO SHOOTS - FRESH, RAW",6.0,,
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2.0,330.0,
"BANANA PEPPERS — FRESH, RAW, WHOLE",7.0,330.0,
"BEET GREENS - FRESH, RAW",4.0,330.0,
"BEETS - FRESH, RAW",14.0,450.0,
"TURNIPS - FRESH, RAW",14.0,270.0,
"WATER CHESTNUTS - FRESH, RAW",8.0,,
"WATERCRESS - FRESH, RAW",2.0,,
"YAMS - FRESH, RAW",,330.0,6.0
"ZUCCHINI -  FRESH, RAW, WHOLE",4.0,330.0,
